09-11 p:  pppppppppxblp
02-04 b:  bbxbb
03-05 q:  dqfqb
05-08 g:  ggcgggglg
10-18 l:  gllpmlgtrmnllhllrlll
18-19 z:  zzzzznszzzzzzzzzzzxz
03-06 r:  frrhxsnrmgmw
01-08 n:  zkxhnxnzghnm
11-12 z:  zzczzzztlzlzzzz
04-07 q:  qqqbncqqq
03-04 c:  ccvfc
19-20 l:  sltlklljdlzglwllllzl
06-16 h:  dhhhrhvhnhdchfsnhq
03-07 l:  fllllqjlll
08-09 k:  xkkjqklkm
01-02 l:  llgpl
02-04 x:  qkjxvqlv
05-06 c:  cwcccjch
03-07 n:  bnnhnwnqtdnndnncnd
08-09 n:  nnrkmdnkn
06-09 t:  ttttrtltptgvcd
03-04 h:  hhwhhhdhhhh
07-08 w:  wdwvcwwszcwwwwwq
02-04 n:  vnng
03-13 v:  vvvvvvvvvvvvjv
09-11 c:  zcccccccccfcbccc
10-11 w:  wkwwwwwwwxw
10-12 z:  zzzzzjzzzrnzz
05-06 t:  ttttts
13-19 b:  bbmfbbbbbrbbgbbbrbbb
08-09 d:  bdddvkddjbdgdd
19-20 m:  mmmmmmmmmcmmmmmmmmmq
06-18 w:  wwwwwwhwjwwwwwwcwjw
04-10 t:  tttttttttj
02-07 j:  fbdgmfjbjgjn
07-08 w:  wwwwwwcww
08-12 c:  cbmdccbccckjccch
13-15 f:  fpfffffffffffqf
07-11 t:  sbtstwdxjpclwd
01-03 s:  shkkqcs
07-08 l:  bdggzczl
01-06 g:  zgggggglggggggw
12-16 h:  hhhhhhhhhhhhhhphhhh
08-19 k:  htknkhkrkdkhkpwppkk
08-10 k:  kkxkkkbrkgk
08-09 h:  hvhhhhhfhhv
15-16 x:  xxxxxxxxxxxxxxxh
01-12 b:  bgwpjbkhbptsbbb
09-10 j:  pjtjpjpnbjjlsgbn
08-09 s:  sscplbswssssglxs
14-15 j:  jjjhjjjjjjxjjjj
01-04 q:  qnqj
03-05 d:  qpdddqvwbzldf
14-15 b:  bbbbbbbbbbbbbbt
01-02 t:  tdxt
01-07 g:  dlpkvrgjzpnr
03-11 m:  lmnwjjxpfmm
03-08 l:  llglllllll
02-04 r:  gfmrlbmsvqzrmbnd
